time,ultrasonic,pressure
19547510,103.96,1023.00
19553201,104.02,1023.00
19556817,103.87,1022.00
19561125,103.91,1022.00
19567516,104.06,1023.00
19573239,104.19,1023.00
19579658,104.05,1023.00
19586751,104.04,1023.00
19593828,104.03,1023.00
19600220,104.24,1023.00
19604539,104.26,1023.00
19608842,104.04,1023.00
19616621,104.35,1023.00
19622996,104.36,1023.00
19628670,104.12,1023.00
19635747,104.34,1023.00
19642180,104.25,1022.00
19650644,104.34,1021.00
19652008,104.28,1023.00
19659102,104.42,1023.00
19663422,104.22,1023.00
19668444,104.55,1022.00
19676958,104.45,1023.00
19681081,104.47,1023.00
19690949,104.80,1023.00
19698043,104.62,1023.00
19704443,104.31,1022.00
19709449,104.86,1022.00
19717244,104.48,1023.00
19725057,104.58,1023.00
19733555,104.49,1023.00
19739245,104.78,1023.00
19746323,104.82,1023.00
19754788,104.55,1023.00
19760496,104.75,1023.00
19766922,104.89,1023.00
19776774,104.69,1023.00
19784587,104.60,1023.00
19793069,104.62,1022.00
19799461,104.94,1023.00
19807273,104.76,1023.00
19814369,104.85,1023.00
19818740,104.95,1023.00
19824448,104.90,1023.00
19834331,105.04,1023.00
19842111,105.01,1022.00
19849172,104.94,1023.00
19851925,104.92,1022.00
19862496,105.38,1023.00
19868220,105.12,1022.00
19875984,104.85,1023.00
19881007,105.00,1023.00
19886013,104.92,1023.00
19893074,105.17,1023.00
19897378,105.11,1023.00
19903070,105.00,1023.00
19910883,105.06,1022.00
19919349,105.19,1023.00
19925090,105.34,1022.00
19930792,105.12,1023.00
19936501,105.22,1022.00
19942193,105.39,1023.00
19944244,105.26,1022.00
19951305,105.25,1023.00
19956981,105.24,1023.00
19962694,105.23,1022.00
19971177,105.16,1023.00
19975300,105.42,1023.00
19981016,105.16,1023.00
19987393,105.43,1023.00
19990146,105.43,1023.00
19993608,105.40,1022.00
19996360,105.47,1023.00
20007617,105.52,1023.00
20014696,105.49,1023.00
20020372,105.64,1022.00
20026075,105.39,1023.00
20033154,105.39,1022.00
20038895,105.61,1023.00
20042532,105.47,1022.00
20051015,105.59,1023.00
20057442,105.79,1022.00
20065240,105.57,1023.00
20073037,105.47,1023.00
20079464,105.63,1022.00
20085848,105.67,1023.00
20094347,105.67,1023.00
20100088,105.73,1023.00
20102825,105.58,1023.00
20109921,105.58,1023.00
20119072,105.75,1023.00
20124063,105.61,1022.00
20131143,105.81,1023.00
20138206,105.72,1023.00
20146039,105.91,1022.00
20153136,105.91,1022.00
20160232,105.79,1023.00
20165932,105.93,1021.00
20171625,105.82,1021.00
20176632,106.06,1023.00
20183076,106.16,1022.00
20190892,106.00,1022.00
20198004,105.96,1023.00
20206488,105.98,1023.00
20212883,106.14,1023.00
20220681,106.12,1022.00
20227750,106.30,1023.00
20234847,106.00,1023.00
20242644,106.09,1022.00
20247653,106.38,1023.00
20252660,106.20,1023.00
20254740,106.22,1023.00
20261118,106.36,1023.00
20268198,106.09,1023.00
20272521,106.31,1023.00
20278231,106.41,1023.00
20286013,106.26,1023.00
20290353,106.27,1023.00
20293106,106.44,1023.00
20299517,106.21,1022.00
20302981,106.41,1021.00
20305734,106.30,1022.00
20312799,106.39,1023.00
20316947,106.26,1023.00
20321269,106.26,1023.00
20326294,106.35,1023.00
20332010,106.30,1022.00
20336134,106.28,1023.00
20341872,106.51,1023.00
20350340,106.30,1023.00
20357403,106.49,1023.00
20365887,106.48,1023.00
20374405,106.44,1023.00
20382888,106.31,1023.00
20391373,106.52,1023.00
20398471,106.45,1023.00
20404164,106.49,1023.00
20412632,106.56,1023.00
20418309,106.32,1023.00
20421062,106.54,1022.00
20427474,106.56,1022.00
20434588,106.47,1023.00
20441000,106.70,1023.00
20445324,106.65,1023.00
20452422,106.71,1022.00
20455076,106.73,1023.00
20462894,106.53,1022.00
20468633,106.53,1023.00
20475062,106.64,1023.00
20477816,106.68,1022.00
20483567,106.75,1022.00
20490664,106.52,1023.00
20498464,106.68,1023.00
20501904,106.62,1023.00
20507630,106.87,1023.00
20515430,106.78,1023.00
20521826,106.70,1023.00
20529608,106.65,1023.00
20536723,106.68,1023.00
20546578,106.83,1023.00
20557152,106.79,1020.00
20563531,107.06,1023.00
20566286,106.94,1022.00
20574085,106.98,1023.00
20583283,106.90,1023.00
20590381,106.86,1022.00
20598164,106.81,1023.00
20605969,106.89,1023.00
20611696,107.16,1023.00
20618093,107.19,1023.00
20627279,106.89,1022.00
20635764,106.97,1023.00
20641533,107.02,1023.00
20644973,107.00,1023.00
20651353,107.10,1022.00
20657064,107.13,1023.00
20663501,107.33,1022.00
20670583,107.18,1022.00
20674023,107.19,1023.00
20681790,107.32,1023.00
20686114,107.13,1023.00
20692539,107.30,1022.00
20699620,107.26,1022.00
20708122,107.19,1023.00
20715220,107.33,1023.00
20723706,107.22,1023.00
20730805,107.18,1023.00
20740666,107.20,1023.00
20747063,107.23,1023.00
20752090,107.40,1023.00
20759889,107.21,1023.00
20762644,107.34,1023.00
20769743,107.32,1023.00
20776825,107.36,1023.00
20782537,107.44,1023.00
20789636,107.47,1022.00
20793760,107.17,1023.00
20796516,107.48,1023.00
20803665,107.49,1022.00
20810079,107.37,1022.00
20817161,107.49,1023.00
20823590,107.62,1023.00
20830697,107.33,1022.00
20839217,107.56,1023.00
20845630,107.47,1022.00
20852729,107.49,1023.00
20857722,107.75,1023.00
20862716,107.49,1023.00
20871207,107.46,1022.00
20876920,107.53,1023.00
20884052,107.73,1022.00
20890466,107.51,1023.00
20897549,107.50,1023.00
20906720,107.62,1023.00
20909474,107.71,1023.00
20915889,107.72,1023.00
20921594,107.80,1023.00
20929379,107.70,1023.00
20935760,107.64,1023.00
20942157,107.77,1022.00
20947853,107.79,1023.00
20953582,107.54,1023.00
20959996,107.84,1023.00
20965692,107.80,1023.00
20972798,107.70,1022.00
20983357,107.82,1022.00
20990456,107.75,1023.00
20996870,107.79,1023.00
21002629,107.90,1021.00
21011817,107.73,1023.00
21020337,107.89,1023.00
21024662,107.85,1022.00
21034568,107.70,1023.00
21040275,107.73,1023.00
